provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah
JAMBI,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,72563,1906650,357591,13169
JAMBI,NONMAKANAN,PERKOTAAN,2017,MARET,121463,2063000,641117,14326
JAMBI,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,123627,2063000,641117,14326
JAMBI,NONMAKANAN,PERKOTAAN,2018,MARET,129154,2243719,649402,14007
JAMBI,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,129210,2243719,649402,14007
JAMBI,NONMAKANAN,PERDESAAN,2017,MARET,72641,2063000,334210,14326
JAMBI,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,74385,2063000,334210,14326
JAMBI,NONMAKANAN,PERDESAAN,2018,MARET,86388,2243719,424329,14007
JAMBI,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,86819,2243719,424329,14007
JAMBI,NONMAKANAN,PERKOTAAN,2019,MARET,131996,2423889,684518,14304
JAMBI,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,135322,2423889,684518,14304
JAMBI,NONMAKANAN,PERKOTAAN,2020,MARET,139066,2630162,733847,15840
JAMBI,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,140106,2630162,733847,15840
JAMBI,NONMAKANAN,PERDESAAN,2019,MARET,91640,2423889,423707,14304
JAMBI,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,96542,2423889,423707,14304
JAMBI,NONMAKANAN,PERDESAAN,2020,MARET,104118,2630162,441837,15840
JAMBI,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,104441,2630162,441837,15840
JAMBI,NONMAKANAN,PERKOTAAN,2021,MARET,146528,2788826,753362,16043
JAMBI,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,149285,2788826,753362,16043
JAMBI,NONMAKANAN,PERKOTAAN,2022,MARET,157559,2698941,796193,16042
JAMBI,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,166816,2698941,796193,16042
JAMBI,NONMAKANAN,PERDESAAN,2021,MARET,108537,2788826,475304,16043
JAMBI,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,114856,2788826,475304,16043
JAMBI,NONMAKANAN,PERDESAAN,2022,MARET,122845,2698941,501511,16042
JAMBI,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,130842,2698941,501511,16042
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2015,MARET,263734,1974346,418794,11622
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2015,SEPTEMBER,272915,1974346,418794,11622
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2016,MARET,275736,2206000,513874,12523
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2016,SEPTEMBER,283334,2206000,513874,12523
SUMATERA SELATAN,MAKANAN,PERDESAAN,2015,MARET,243702,1974346,358391,11622
SUMATERA SELATAN,MAKANAN,PERDESAAN,2015,SEPTEMBER,254209,1974346,358391,11622
SUMATERA SELATAN,MAKANAN,PERDESAAN,2016,MARET,263912,2206000,408161,12523
SUMATERA SELATAN,MAKANAN,PERDESAAN,2016,SEPTEMBER,270182,2206000,408161,12523
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2017,MARET,291341,2388000,581213,12690
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2017,SEPTEMBER,297193,2388000,581213,12690
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2018,MARET,313669,2595995,568797,13214
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2018,SEPTEMBER,314491,2595995,568797,13214
SUMATERA SELATAN,MAKANAN,PERDESAAN,2017,MARET,273134,2388000,465251,12690
SUMATERA SELATAN,MAKANAN,PERDESAAN,2017,SEPTEMBER,278321,2388000,465251,12690
SUMATERA SELATAN,MAKANAN,PERDESAAN,2018,MARET,289522,2595995,464444,13214
SUMATERA SELATAN,MAKANAN,PERDESAAN,2018,SEPTEMBER,291450,2595995,464444,13214
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2019,MARET,318325,2804453,536802,13580
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2019,SEPTEMBER,331698,2804453,536802,13580
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2020,MARET,337697,3043111,584583,15072
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2020,SEPTEMBER,338390,3043111,584583,15072
SUMATERA SELATAN,MAKANAN,PERDESAAN,2019,MARET,299598,2804453,476355,13580
SUMATERA SELATAN,MAKANAN,PERDESAAN,2019,SEPTEMBER,311271,2804453,476355,13580
SUMATERA SELATAN,MAKANAN,PERDESAAN,2020,MARET,321453,3043111,505671,15072
SUMATERA SELATAN,MAKANAN,PERDESAAN,2020,SEPTEMBER,323914,3043111,505671,15072
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2021,MARET,350163,3043111,611880,15873
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2021,SEPTEMBER,354236,3043111,611880,15873
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2022,MARET,374346,3144446,674968,15978
SUMATERA SELATAN,MAKANAN,PERKOTAAN,2022,SEPTEMBER,400354,3144446,674968,15978
SUMATERA SELATAN,MAKANAN,PERDESAAN,2021,MARET,335549,3043111,559309,15873
SUMATERA SELATAN,MAKANAN,PERDESAAN,2021,SEPTEMBER,337702,3043111,559309,15873
SUMATERA SELATAN,MAKANAN,PERDESAAN,2022,MARET,353000,3144446,587945,15978
SUMATERA SELATAN,MAKANAN,PERDESAAN,2022,SEPTEMBER,368981,3144446,587945,15978
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2015,MARET,101603,1974346,514708,11622
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,105823,1974346,514708,11622
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2016,MARET,112324,2206000,569719,12523
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,116824,2206000,569719,12523
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2015,MARET,61880,1974346,260923,11622
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,65785,1974346,260923,11622
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2016,MARET,67658,2206000,293544,12523
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,69692,2206000,293544,12523
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2017,MARET,119191,2388000,589322,12690
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,120635,2388000,589322,12690
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2018,MARET,124314,2595995,637747,13214
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,126557,2595995,637747,13214
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2017,MARET,74386,2388000,317870,12690
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,77699,2388000,317870,12690
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2018,MARET,85005,2595995,365368,13214
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,87600,2595995,365368,13214
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2019,MARET,128381,2804453,608271,13580
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,129424,2804453,608271,13580
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2020,MARET,131854,3043111,637679,15072
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,132409,3043111,637679,15072
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2019,MARET,90188,2804453,371452,13580
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,94735,2804453,371452,13580
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2020,MARET,100198,3043111,397041,15072
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,100455,3043111,397041,15072
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2021,MARET,135276,3043111,670505,15873
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,137422,3043111,670505,15873
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2022,MARET,141579,3144446,685547,15978
SUMATERA SELATAN,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,148101,3144446,685547,15978
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2021,MARET,105866,3043111,425439,15873
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,108975,3043111,425439,15873
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2022,MARET,114139,3144446,432887,15978
SUMATERA SELATAN,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,124901,3144446,432887,15978
BENGKULU,MAKANAN,PERKOTAAN,2015,MARET,288387,1500000,434462,12491
BENGKULU,MAKANAN,PERKOTAAN,2015,SEPTEMBER,313872,1500000,434462,12491
BENGKULU,MAKANAN,PERKOTAAN,2016,MARET,315710,1605000,501705,13471
BENGKULU,MAKANAN,PERKOTAAN,2016,SEPTEMBER,335957,1605000,501705,13471
BENGKULU,MAKANAN,PERDESAAN,2015,MARET,303059,1500000,403723,12491
BENGKULU,MAKANAN,PERDESAAN,2015,SEPTEMBER,329667,1500000,403723,12491
BENGKULU,MAKANAN,PERDESAAN,2016,MARET,333753,1605000,422178,13471
BENGKULU,MAKANAN,PERDESAAN,2016,SEPTEMBER,335624,1605000,422178,13471
BENGKULU,MAKANAN,PERKOTAAN,2017,MARET,350441,1737412,546294,14011
BENGKULU,MAKANAN,PERKOTAAN,2017,SEPTEMBER,361375,1737412,546294,14011
BENGKULU,MAKANAN,PERKOTAAN,2018,MARET,380731,1888741,599850,14353
BENGKULU,MAKANAN,PERKOTAAN,2018,SEPTEMBER,388650,1888741,599850,14353
BENGKULU,MAKANAN,PERDESAAN,2017,MARET,341275,1737412,512495,14011
BENGKULU,MAKANAN,PERDESAAN,2017,SEPTEMBER,352385,1737412,512495,14011
BENGKULU,MAKANAN,PERDESAAN,2018,MARET,356600,1888741,524132,14353
BENGKULU,MAKANAN,PERDESAAN,2018,SEPTEMBER,356972,1888741,524132,14353
BENGKULU,MAKANAN,PERKOTAAN,2019,MARET,393835,2040407,608544,14511
BENGKULU,MAKANAN,PERKOTAAN,2019,SEPTEMBER,422120,2040407,608544,14511
BENGKULU,MAKANAN,PERKOTAAN,2020,MARET,423966,2213604,636828,17407
BENGKULU,MAKANAN,PERKOTAAN,2020,SEPTEMBER,426542,2213604,636828,17407
BENGKULU,MAKANAN,PERDESAAN,2019,MARET,358509,2040407,509743,14511
BENGKULU,MAKANAN,PERDESAAN,2019,SEPTEMBER,369733,2040407,509743,14511
BENGKULU,MAKANAN,PERDESAAN,2020,MARET,374440,2213604,542088,17407
BENGKULU,MAKANAN,PERDESAAN,2020,SEPTEMBER,377325,2213604,542088,17407
BENGKULU,MAKANAN,PERKOTAAN,2021,MARET,449159,2460996,644543,18271
BENGKULU,MAKANAN,PERKOTAAN,2021,SEPTEMBER,462886,2460996,644543,18271
BENGKULU,MAKANAN,PERKOTAAN,2022,MARET,480128,2238094,688085,16501
BENGKULU,MAKANAN,PERKOTAAN,2022,SEPTEMBER,508068,2238094,688085,16501
BENGKULU,MAKANAN,PERDESAAN,2021,MARET,386776,2460996,548491,18271
BENGKULU,MAKANAN,PERDESAAN,2021,SEPTEMBER,405341,2460996,548491,18271
BENGKULU,MAKANAN,PERDESAAN,2022,MARET,416744,2238094,595345,16501
BENGKULU,MAKANAN,PERDESAAN,2022,SEPTEMBER,437286,2238094,595345,16501
BENGKULU,NONMAKANAN,PERKOTAAN,2015,MARET,109102,1500000,555949,12491
BENGKULU,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,111770,1500000,555949,12491
BENGKULU,NONMAKANAN,PERKOTAAN,2016,MARET,114862,1605000,695404,13471
BENGKULU,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,122478,1605000,695404,13471
BENGKULU,NONMAKANAN,PERDESAAN,2015,MARET,69112,1500000,326656,12491
BENGKULU,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,74513,1500000,326656,12491
BENGKULU,NONMAKANAN,PERDESAAN,2016,MARET,76110,1605000,332335,13471
BENGKULU,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,91690,1605000,332335,13471
BENGKULU,NONMAKANAN,PERKOTAAN,2017,MARET,127360,1737412,715282,14011
BENGKULU,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,129101,1737412,715282,14011
BENGKULU,NONMAKANAN,PERKOTAAN,2018,MARET,136223,1888741,812762,14353
BENGKULU,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,142003,1888741,812762,14353
BENGKULU,NONMAKANAN,PERDESAAN,2017,MARET,97067,1737412,350740,14011
BENGKULU,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,97472,1737412,350740,14011
BENGKULU,NONMAKANAN,PERDESAAN,2018,MARET,108824,1888741,435647,14353
BENGKULU,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,117037,1888741,435647,14353
BENGKULU,NONMAKANAN,PERKOTAAN,2019,MARET,144674,2040407,814178,14511
BENGKULU,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,146663,2040407,814178,14511
BENGKULU,NONMAKANAN,PERKOTAAN,2020,MARET,149257,2213604,855378,17407
BENGKULU,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,150379,2213604,855378,17407
BENGKULU,NONMAKANAN,PERDESAAN,2019,MARET,123409,2040407,425301,14511
BENGKULU,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,129890,2040407,425301,14511
BENGKULU,NONMAKANAN,PERDESAAN,2020,MARET,131570,2213604,423330,17407
BENGKULU,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,132162,2213604,423330,17407
BENGKULU,NONMAKANAN,PERKOTAAN,2021,MARET,155110,2460996,820709,18271
BENGKULU,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,161688,2460996,820709,18271
BENGKULU,NONMAKANAN,PERKOTAAN,2022,MARET,167708,2238094,795497,16501
BENGKULU,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,178155,2238094,795497,16501
BENGKULU,NONMAKANAN,PERDESAAN,2021,MARET,137716,2460996,428537,18271
BENGKULU,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,142987,2460996,428537,18271
BENGKULU,NONMAKANAN,PERDESAAN,2022,MARET,149208,2238094,457934,16501
BENGKULU,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,162687,2238094,457934,16501
LAMPUNG,MAKANAN,PERKOTAAN,2015,MARET,260892,1581000,447587,10104
LAMPUNG,MAKANAN,PERKOTAAN,2015,SEPTEMBER,274255,1581000,447587,10104
LAMPUNG,MAKANAN,PERKOTAAN,2016,MARET,279240,1763000,491261,10385
LAMPUNG,MAKANAN,PERKOTAAN,2016,SEPTEMBER,284222,1763000,491261,10385
LAMPUNG,MAKANAN,PERDESAAN,2015,MARET,251365,1581000,359111,10104
LAMPUNG,MAKANAN,PERDESAAN,2015,SEPTEMBER,264450,1581000,359111,10104
LAMPUNG,MAKANAN,PERDESAAN,2016,MARET,272168,1763000,383391,10385
LAMPUNG,MAKANAN,PERDESAAN,2016,SEPTEMBER,273647,1763000,383391,10385
LAMPUNG,MAKANAN,PERKOTAAN,2017,MARET,302761,1908447,558327,11234
LAMPUNG,MAKANAN,PERKOTAAN,2017,SEPTEMBER,307473,1908447,558327,11234
LAMPUNG,MAKANAN,PERKOTAAN,2018,MARET,321620,2074673,560502,11779
LAMPUNG,MAKANAN,PERKOTAAN,2018,SEPTEMBER,327530,2074673,560502,11779
LAMPUNG,MAKANAN,PERDESAAN,2017,MARET,285183,1908447,433581,11234
LAMPUNG,MAKANAN,PERDESAAN,2017,SEPTEMBER,286434,1908447,433581,11234
LAMPUNG,MAKANAN,PERDESAAN,2018,MARET,293926,2074673,444007,11779
LAMPUNG,MAKANAN,PERDESAAN,2018,SEPTEMBER,299041,2074673,444007,11779
LAMPUNG,MAKANAN,PERKOTAAN,2019,MARET,335947,2241270,570592,12575
LAMPUNG,MAKANAN,PERKOTAAN,2019,SEPTEMBER,344994,2241270,570592,12575
LAMPUNG,MAKANAN,PERKOTAAN,2020,MARET,364654,2432002,587511,14912
LAMPUNG,MAKANAN,PERKOTAAN,2020,SEPTEMBER,367275,2432002,587511,14912
LAMPUNG,MAKANAN,PERDESAAN,2019,MARET,304512,2241270,446555,12575
LAMPUNG,MAKANAN,PERDESAAN,2019,SEPTEMBER,318866,2241270,446555,12575
LAMPUNG,MAKANAN,PERDESAAN,2020,MARET,333219,2432002,466590,14912
LAMPUNG,MAKANAN,PERDESAAN,2020,SEPTEMBER,335769,2432002,466590,14912
LAMPUNG,MAKANAN,PERKOTAAN,2021,MARET,375720,2432001,622926,15224
LAMPUNG,MAKANAN,PERKOTAAN,2021,SEPTEMBER,392074,2432001,622926,15224
LAMPUNG,MAKANAN,PERKOTAAN,2022,MARET,412358,2440486,644379,13218
LAMPUNG,MAKANAN,PERKOTAAN,2022,SEPTEMBER,439148,2440486,644379,13218
LAMPUNG,MAKANAN,PERDESAAN,2021,MARET,347870,2432001,501084,15224
LAMPUNG,MAKANAN,PERDESAAN,2021,SEPTEMBER,361365,2432001,501084,15224
LAMPUNG,MAKANAN,PERDESAAN,2022,MARET,372425,2440486,542452,13218
LAMPUNG,MAKANAN,PERDESAAN,2022,SEPTEMBER,392553,2440486,542452,13218
LAMPUNG,NONMAKANAN,PERKOTAAN,2015,MARET,109948,1581000,538560,10104
LAMPUNG,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,112473,1581000,538560,10104
LAMPUNG,NONMAKANAN,PERKOTAAN,2016,MARET,113248,1763000,551369,10385
LAMPUNG,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,114155,1763000,551369,10385
LAMPUNG,NONMAKANAN,PERDESAAN,2015,MARET,74918,1581000,294748,10104
LAMPUNG,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,81638,1581000,294748,10104
LAMPUNG,NONMAKANAN,PERDESAAN,2016,MARET,82510,1763000,311439,10385
LAMPUNG,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,84145,1763000,311439,10385
LAMPUNG,NONMAKANAN,PERKOTAAN,2017,MARET,117466,1908447,569779,11234
LAMPUNG,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,119599,1908447,569779,11234
LAMPUNG,NONMAKANAN,PERKOTAAN,2018,MARET,122626,2074673,616817,11779
LAMPUNG,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,125522,2074673,616817,11779
LAMPUNG,NONMAKANAN,PERDESAAN,2017,MARET,86711,1908447,309728,11234
LAMPUNG,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,90615,1908447,309728,11234
LAMPUNG,NONMAKANAN,PERDESAAN,2018,MARET,92038,2074673,371716,11779
LAMPUNG,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,93160,2074673,371716,11779
LAMPUNG,NONMAKANAN,PERKOTAAN,2019,MARET,127707,2241270,620054,12575
LAMPUNG,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,132077,2241270,620054,12575
LAMPUNG,NONMAKANAN,PERKOTAAN,2020,MARET,136066,2432002,643043,14912
LAMPUNG,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,137055,2432002,643043,14912
LAMPUNG,NONMAKANAN,PERDESAAN,2019,MARET,94425,2241270,365841,12575
LAMPUNG,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,97828,2241270,365841,12575
LAMPUNG,NONMAKANAN,PERDESAAN,2020,MARET,100624,2432002,393202,14912
LAMPUNG,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,101339,2432002,393202,14912
LAMPUNG,NONMAKANAN,PERKOTAAN,2021,MARET,140283,2432001,693670,15224
LAMPUNG,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,143059,2432001,693670,15224
LAMPUNG,NONMAKANAN,PERKOTAAN,2022,MARET,148109,2440486,674903,13218
LAMPUNG,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,156844,2440486,674903,13218
LAMPUNG,NONMAKANAN,PERDESAAN,2021,MARET,103341,2432001,395456,15224
LAMPUNG,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,111553,2432001,395456,15224
LAMPUNG,NONMAKANAN,PERDESAAN,2022,MARET,120198,2440486,414416,13218
LAMPUNG,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,130606,2440486,414416,13218
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2015,MARET,330178,2100000,606905,12660
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2015,SEPTEMBER,362214,2100000,606905,12660
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2016,MARET,365938,2341500,633225,14257
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2016,SEPTEMBER,387559,2341500,633225,14257
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2015,MARET,375657,2100000,551553,12660
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2015,SEPTEMBER,406405,2100000,551553,12660
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2016,MARET,409399,2341500,558613,14257
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2016,SEPTEMBER,427177,2341500,558613,14257
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2017,MARET,400464,2538673,784861,14822
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2017,SEPTEMBER,421894,2538673,784861,14822
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2018,MARET,442588,2755444,757618,15818
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2018,SEPTEMBER,469429,2755444,757618,15818
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2017,MARET,449106,2538673,651144,14822
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2017,SEPTEMBER,464559,2538673,651144,14822
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2018,MARET,472431,2755444,655645,15818
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2018,SEPTEMBER,495542,2755444,655645,15818
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2019,MARET,480596,2976706,807682,17373
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2019,SEPTEMBER,504235,2976706,807682,17373
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2020,MARET,507398,3230024,812631,15763
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2020,SEPTEMBER,511872,3230024,812631,15763
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2019,MARET,507100,2976706,682642,17373
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2019,SEPTEMBER,541062,2976706,682642,17373
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2020,MARET,543077,3230024,720007,15763
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2020,SEPTEMBER,546174,3230024,720007,15763
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2021,MARET,525236,3000804,826951,17692
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2021,SEPTEMBER,538158,3000804,826951,17692
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2022,MARET,561881,3264884,906502,18132
KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,2022,SEPTEMBER,605177,3264884,906502,18132
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2021,MARET,566074,3000804,726610,17692
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2021,SEPTEMBER,576533,3000804,726610,17692
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2022,MARET,600254,3264884,848494,18132
KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,2022,SEPTEMBER,641806,3264884,848494,18132
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2015,MARET,145300,2100000,613072,12660
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,154621,2100000,613072,12660
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2016,MARET,155835,2341500,722576,14257
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,166122,2341500,722576,14257
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2015,MARET,125875,2100000,467700,12660
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,136327,2100000,467700,12660
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2016,MARET,137599,2341500,505734,14257
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,146405,2341500,505734,14257
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2017,MARET,170765,2538673,795826,14822
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,173137,2538673,795826,14822
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2018,MARET,180347,2755444,838278,15818
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,186718,2755444,838278,15818
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2017,MARET,153836,2538673,469208,14822
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,158552,2538673,469208,14822
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2018,MARET,165869,2755444,559284,15818
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,176561,2755444,559284,15818
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2019,MARET,190458,2976706,883969,17373
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,200912,2976706,883969,17373
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2020,MARET,203236,3230024,854352,15763
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,204588,3230024,854352,15763
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2019,MARET,178334,2976706,603651,17373
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,184681,2976706,603651,17373
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2020,MARET,189493,3230024,578492,15763
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,190676,3230024,578492,15763
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2021,MARET,212698,3000804,859389,17692
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,215609,3000804,859389,17692
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2022,MARET,223107,3264884,874034,18132
KEP. BANGKA BELITUNG,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,231249,3264884,874034,18132
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2021,MARET,202340,3000804,606125,17692
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,214613,3000804,606125,17692
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2022,MARET,220289,3264884,637672,18132
KEP. BANGKA BELITUNG,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,231037,3264884,637672,18132
KEP. RIAU,MAKANAN,PERKOTAAN,2015,MARET,298998,1954000,625859,18863
