provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,Cluster
ACEH,NONMAKANAN,PERKOTAAN,2021.0,MARET,147729.0,3165031.0,724090.0,17037.0,0
ACEH,NONMAKANAN,PERKOTAAN,2021.0,SEPTEMBER,151144.0,3165031.0,724090.0,17037.0,0
ACEH,NONMAKANAN,PERKOTAAN,2022.0,MARET,157867.0,3166460.0,716409.0,16772.0,0
ACEH,NONMAKANAN,PERKOTAAN,2022.0,SEPTEMBER,164956.0,3166460.0,716409.0,16772.0,0
ACEH,NONMAKANAN,PERDESAAN,2021.0,MARET,122118.0,3165031.0,378673.0,17037.0,0
ACEH,NONMAKANAN,PERDESAAN,2021.0,SEPTEMBER,126262.0,3165031.0,378673.0,17037.0,0
ACEH,NONMAKANAN,PERDESAAN,2022.0,MARET,131658.0,3166460.0,406040.0,16772.0,0
ACEH,NONMAKANAN,PERDESAAN,2022.0,SEPTEMBER,140763.0,3166460.0,406040.0,16772.0,0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015.0,MARET,261677.0,1625000.0,416073.0,10618.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015.0,SEPTEMBER,273271.0,1625000.0,416073.0,10618.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016.0,MARET,290096.0,1811875.0,493141.0,11646.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016.0,SEPTEMBER,302027.0,1811875.0,493141.0,11646.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2015.0,MARET,266143.0,1625000.0,413087.0,10618.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2015.0,SEPTEMBER,284650.0,1625000.0,413087.0,10618.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2016.0,MARET,304942.0,1811875.0,450979.0,11646.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2016.0,SEPTEMBER,313234.0,1811875.0,450979.0,11646.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017.0,MARET,311996.0,1961354.0,553690.0,13396.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017.0,SEPTEMBER,321688.0,1961354.0,553690.0,13396.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018.0,MARET,328225.0,2132189.0,586199.0,13257.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018.0,SEPTEMBER,345167.0,2132189.0,586199.0,13257.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2017.0,MARET,316190.0,1961354.0,490603.0,13396.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2017.0,SEPTEMBER,322222.0,1961354.0,490603.0,13396.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2018.0,MARET,333843.0,2132189.0,519512.0,13257.0,1
SUMATERA UTARA,MAKANAN,PERDESAAN,2018.0,SEPTEMBER,342317.0,2132189.0,519512.0,13257.0,1
SUMATERA UTARA,MAKANAN,PERKOTAAN,2019.0,MARET,354346.0,2303403.0,612136.0,14061.0,1
